"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"""""	""			ifprodnk""",-0.489834363572299,0.0139126614667475,-0.0561157742049545,-0.391236069845036,-0.417612238787115,-0.250377925112844,-0.0311231154482812,0.0325540695339441,-0.00208473368547857,0.128792798845097,-0.0611393987201154,0.659652343718335,0.0655891643837094,-0.0408641095273197,-0.287319646915421
"""""	""			ifrightj",-0.279063243958062,0.0799030849487581,-0.154895856883581,0.372444593266995,0.728339897997405,-0.175977435398199,0.664524138185606,0.489382436349577,0.0460415553724306,-0.115988143876172,0.198353132926225,-0.632303510137528,-0.0445969734022689,0.472341442655551,0.625621379618794
"""""	""			iftrailij""",-0.0812742772977799,-0.0981077067553997,-0.805558010702953,-0.277845506323501,0.00867791334167123,-0.247466579545289,0.00726035959087312,0.697315142955631,0.472727649612352,0.564917027950287,-0.131350159645081,-0.737581814872101,0.104427862446755,-0.109144547022879,-0.298209673725069
"""""	""			iftx",-0.311983788303526,-0.432654418390252,0.370361702045023,0.0353776851149279,-0.288894515049405,-0.0288833364500111,-0.0929426213246753,0.0622640364149829,0.37385637532837,-0.063244532893838,0.886041475961067,0.0748985363871126,0.287663489511795,-0.039430632319131,-0.224000606188997
"""""	""			left",-0.529606245257751,0.17221044167122,0.154544733779652,0.00229303195966153,-0.124097214190566,-0.158637834183833,0.497919058202274,0.174560605049198,0.0735254331455747,-0.617814515216811,0.185428550425613,-0.280224852458788,0.202381402565427,0.0561020184195107,-0.0904096165715742
"""""	""			ly",0.409458032344171,-0.393659829371628,0.349679581421616,-0.0721245883392327,-0.490939764966708,0.319803684401091,0.228882155272161,-0.585015786484787,0.551642784165705,0.428384200957448,0.111779788953073,-0.160659047873693,0.743169516785106,0.135273554104891,0.251105340751024
"""""	""			return",-0.129800965402464,-0.016566221535626,-0.394315659307282,-0.352638108597393,-0.107480137311333,-0.106706570129675,0.558916074867799,0.0190977167843632,0.318798699264193,-0.529227791086103,0.492961683569001,0.0418837158526315,-0.742754965965668,0.507293527662224,0.935112146860742
"""""	""			ry",-0.100745897194169,0.842220022428524,-0.697558266861354,0.528229260208764,-0.656485901298457,-0.000569963508304544,-0.19022581160877,0.591474746864152,0.0213587949526388,0.388970729156444,-0.0526974425958974,0.775627623237711,0.0950178338133809,0.352796587964775,-0.55039825440068
"""""	""			spop""",-0.562688516452909,-0.123817374929786,0.0809733578935266,0.718791528372094,0.296736673684791,-0.434931442141533,-0.0790298555511981,-0.665575456339866,0.156894830521196,0.634820829844102,0.113055703928694,-0.742028707871214,0.107523321639746,0.567948814714327,-0.208277522120625
"""""	""			spop此时栈中为，跳过""",-0.460393100976944,0.208355166949332,-0.636879192665219,0.274249890819192,0.0220947521738708,-0.0586231749039143,0.0183502929285169,0.0776254804804921,0.199486545985565,-0.401562741259113,0.23151129623875,0.208818316226825,0.462664305698127,-0.0186100718565285,0.703139785444364
"""""	""			spushresult""",-0.569629854988307,-0.22504050261341,-0.131419196957722,-0.0286197010427713,0.131699837744236,0.266187618952245,-0.137994311749935,-0.342827689601108,0.142316284589469,0.120676596881822,-0.16648812731728,-0.410824288614094,0.584466687869281,-0.638476397609338,-0.504933313466609
"""""	""			spushtokeni""",-0.315149427624419,-0.690550269093364,0.582019614521414,-0.0785894135478884,0.0240314633119851,0.163086423650384,-0.0818565485533327,-0.352407104801387,0.2621283037588,0.187272924231365,0.517228565178812,0.113934963475913,-0.460310659138486,-0.334675171645358,0.495852427557111
"""""	""			strati",-0.100988144463015,0.262807327513965,-0.417541606540498,-0.164054783069289,-0.728995618227232,-0.331494356744088,-0.289549138250617,0.232876657173799,-0.625463205303933,-0.304906492860984,-0.178293386500053,-0.0723283385383466,0.415424499961229,-0.848216245041015,-0.704827176464812
"""""	""			strcpyclosnoitemirhs""",-0.566851636627689,0.614214971428737,-0.290363031905144,0.0185517612844706,0.147024661302567,0.255469356430694,0.722245081095025,-0.60340711614117,0.0346749955788255,-0.286802451126277,0.00973387830890715,-0.100226160371676,-0.148951934883371,0.125783183379099,0.541644830256701
"""""	""			vpushbackisz""",-0.327451709657907,0.101669281488284,0.606564728077501,-0.21892283950001,-0.0810601634439081,0.225173849379644,-0.0827852594666183,-0.261465321294963,0.517575547099113,0.0718568505253643,0.586963427951559,0.357922489754856,0.863769326591864,-0.116023112786934,-0.581430733436719
"""""	""			vpushbacks""",-0.634658649098128,-0.104658114491031,0.0724029752891511,-0.446826758095995,-0.12587272003293,-0.35880215652287,0.104132448788732,-0.372670716140419,0.0735795937944204,0.457039383938536,-0.021624127170071,-0.231963792350143,-0.636802085675299,0.0432083297055215,-0.00750359962694347
"""""	""			vpushbacktokeni""",0.12767196726054,0.322438949719071,-0.083067623199895,0.66853088606149,0.466273381840438,-0.716971559915692,0.178282475797459,0.448947015451267,0.201413651229814,-0.0179244056344032,-0.687397867441177,-0.31045668432489,0.0550902769900858,-0.368010426405817,0.468217219458893
"""""	""			whilegramirhsjcountx""",0.603879684116691,0.0125724512618035,-0.500899569597095,-0.20205800421536,0.0202063797041774,0.281741249607876,-0.548498766729608,0.748088837834075,-0.498406904283911,-0.029721186729148,0.320365062681958,0.0591232124716043,0.374745843932033,-0.0730757024139166,-0.297290832968429
"""""	""			空栈或者栈顶为新来的元素优先级更高",0.0730721104978197,-0.166984756217499,-0.250464323029965,0.385242376370132,0.498467595666476,0.736375360801732,-0.436190028582118,0.180269727906136,-0.0602506502150186,0.70947272469173,0.163186479557374,0.475854098379592,-0.410445283874616,0.25477695811979,0.269421343300702
